id,node_type
701,with_item|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr|atom|NUMBER UP
576,subscript|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr UP
450,testlist|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr|atom|STRING DOWN
53,DEDENT DOWN
153,CLOSE_BRACE UP
688,exprlist|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr|atom UP
247,subscript|COLON DOWN
578,augassign|DIV_ASSIGN DOWN
8,ASSIGN DOWN
129,factor|power|atom_expr|atom|NAME DOWN
585,power|atom_expr|atom|NAME UP
630,stmt|simple_stmt|small_stmt|expr_stmt|testlist_star_expr UP
591,testlist|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr|atom|FALSE UP
48,suite UP
192,exprlist DOWN
161,subscriptlist|subscript|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr|atom|STRING UP
228,stmt|compound_stmt|for_stmt UP
135,MINUS UP
436,simple_stmt UP
447,comp_op|IN UP
17,trailer UP
166,test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr|atom UP
389,subscriptlist|subscript|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr DOWN
16,COMMA UP
338,stmt|simple_stmt|small_stmt|expr_stmt|testlist_star_expr|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr|atom UP
396,stmt|simple_stmt|small_stmt|expr_stmt|testlist_star_expr|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr|atom|NUMBER DOWN
109,testlist_star_expr|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr|atom|STRING UP
592,expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor UP
364,small_stmt|expr_stmt|testlist_star_expr|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr|atom UP
156,argument|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr|atom|STRING DOWN
655,not_test DOWN
411,comp_op UP
36,stmt|simple_stmt|small_stmt|expr_stmt|testlist_star_expr|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr DOWN
79,stmt|simple_stmt|small_stmt|expr_stmt UP
481,subscript|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr|atom|NAME DOWN
369,testlist_comp|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr|atom|NONE UP
11,arglist UP
65,small_stmt|import_stmt|import_name UP
175,expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr|atom|NAME DOWN
425,import_as_name DOWN
516,comp_op|IS DOWN
687,subscript|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr|atom|ELLIPSIS UP
282,augassign|SUB_ASSIGN DOWN
305,testlist_comp|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr DOWN
25,small_stmt|expr_stmt DOWN
470,arglist|argument|test DOWN
372,testlist|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term UP
56,stmt|compound_stmt|funcdef DOWN
82,test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr|atom|STRING UP
213,augassign|ADD_ASSIGN UP
457,atom_expr|atom DOWN
105,import_as_names DOWN
698,star_expr UP
694,test_nocond|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr|atom UP
378,term|factor|power|atom_expr UP
557,expr|xor_expr|and_expr|shift_expr|arith_expr|term DOWN
603,expr|xor_expr|and_expr|shift_expr|arith_expr DOWN
43,small_stmt|expr_stmt|testlist_star_expr|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr UP
75,import_as_names|import_as_name|NAME UP
666,suite|simple_stmt|small_stmt|expr_stmt|testlist_star_expr|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr|atom|NAME DOWN
144,test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr UP
445,and_test|not_test|comparison DOWN
449,test|or_test DOWN
693,small_stmt|expr_stmt|testlist_star_expr|test DOWN
706,suite|simple_stmt|small_stmt|expr_stmt|testlist_star_expr|test|or_test|and_test UP
455,subscript|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr|atom|NUMBER UP
417,expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr|atom|NONE UP
484,exprlist|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr UP
614,test|lambdef UP
163,argument|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr|atom DOWN
483,subscript|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr DOWN
670,small_stmt|assert_stmt DOWN
367,testlist_comp|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr DOWN
5,test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr|atom|NAME UP
513,arglist|argument|test|or_test|and_test|not_test|comparison DOWN
37,DOT DOWN
235,stmt|compound_stmt|with_stmt UP
570,comp_iter|comp_for UP
415,IS DOWN
697,dictorsetmaker|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr|atom|NUMBER UP
283,augassign|SUB_ASSIGN UP
454,subscript|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr|atom|NUMBER DOWN
634,small_stmt|expr_stmt|testlist_star_expr|test|or_test UP
633,and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr DOWN
55,stmt|compound_stmt|funcdef UP
435,testlist_star_expr|test|or_test|and_test|not_test|comparison DOWN
224,exprlist|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr|atom|NAME UP
462,testlist_comp|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr|atom|NUMBER DOWN
508,WHILE UP
215,test_nocond|or_test|and_test|not_test|comparison DOWN
314,atom|STRING DOWN
432,subscript|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr|atom UP
487,stmt|compound_stmt|classdef UP
337,argument|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term DOWN
22,OPEN_PAREN DOWN
182,test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr DOWN
707,suite|simple_stmt|small_stmt|expr_stmt|testlist_star_expr|test|or_test|and_test DOWN
14,test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr|atom|NUMBER UP
104,import_as_names UP
126,term UP
124,factor|power|atom_expr UP
493,testlist|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr DOWN
573,ELIF UP
291,stmt|simple_stmt|small_stmt|expr_stmt|testlist_star_expr|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr|atom|STRING UP
341,dictorsetmaker|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr|atom|NAME UP
551,TRY DOWN
507,or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr|atom DOWN
38,NAME UP
244,subscriptlist UP
285,small_stmt|del_stmt UP
586,testlist_star_expr|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr|atom|TRUE DOWN
54,DEF UP
502,stmt|simple_stmt|small_stmt|expr_stmt|testlist_star_expr|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr UP
128,DIV DOWN
274,POWER UP
191,exprlist UP
363,not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr|atom|NUMBER DOWN
480,subscript|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr|atom|NAME UP
200,ELSE DOWN
206,testlist_star_expr|test UP
279,testlist_comp|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr|atom DOWN
265,factor|power|atom_expr|atom DOWN
685,test_nocond|or_test|and_test|not_test DOWN
561,testlist_comp|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power DOWN
308,test|or_test|and_test UP
646,xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr|atom UP
395,or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr|atom|NUMBER UP
528,STRING DOWN
608,atom_expr UP
157,test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr|atom|FALSE UP
52,INDENT UP
232,with_item UP
443,LAMBDA DOWN
439,argument|test|lambdef UP
595,small_stmt|flow_stmt|return_stmt|RETURN DOWN
165,testlist_comp|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr|atom|STRING UP
525,small_stmt|expr_stmt|testlist_star_expr|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr DOWN
409,small_stmt|expr_stmt|testlist_star_expr DOWN
531,varargslist UP
467,testlist|test|or_test|and_test|not_test DOWN
624,stmt|simple_stmt|small_stmt|expr_stmt|testlist_star_expr|test|or_test|and_test UP
631,stmt|simple_stmt|small_stmt|expr_stmt|testlist_star_expr DOWN
431,argument|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr|atom|FALSE UP
385,arglist|argument|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term UP
682,subscriptlist|subscript|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr|atom|NONE DOWN
574,small_stmt|expr_stmt|testlist_star_expr|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr|atom|NONE UP
142,testlist_star_expr|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr|atom|NUMBER DOWN
219,FOR UP
600,suite|simple_stmt|small_stmt|expr_stmt|testlist_star_expr|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr UP
6,argument UP
141,IDIV DOWN
184,typedargslist UP
335,SEMI_COLON UP
441,varargslist|vfpdef|NAME DOWN
20,testlist_star_expr|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr UP
352,and_test DOWN
179,comp_op|EQUALS UP
93,subscriptlist|subscript|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr|atom|NAME UP
123,FROM DOWN
287,DEL DOWN
118,stmt|simple_stmt|small_stmt|expr_stmt|testlist_star_expr|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr|atom|NAME DOWN
448,test|or_test UP
427,suite|simple_stmt DOWN
379,term|factor|power|atom_expr DOWN
501,expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr|atom|TRUE UP
323,MOD DOWN
495,argument|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr|atom|TRUE UP
78,STAR DOWN
306,NUMBER DOWN
404,expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr|atom|FALSE DOWN
539,funcdef UP
582,NOT_OP UP
159,argument|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr DOWN
97,arglist|argument DOWN
296,test|or_test|and_test|not_test DOWN
210,or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr|atom|NAME UP
61,dotted_as_names|dotted_as_name DOWN
256,testlist|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr|atom DOWN
519,arglist|argument|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr|atom|TRUE UP
243,subscript|COLON UP
259,term|factor|power|atom_expr|atom UP
18,trailer DOWN
504,stmt|simple_stmt|small_stmt|expr_stmt|testlist_star_expr|test|or_test|and_test|not_test|comparison UP
312,testlist|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr|atom|NUMBER DOWN
563,except_clause|EXCEPT UP
120,UNKNOWN_CHAR DOWN
134,MINUS DOWN
665,argument|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power DOWN
277,atom_expr|atom|NUMBER DOWN
650,OR_OP DOWN
248,subscript|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr|atom|STRING UP
545,except_clause UP
174,comp_op|NOT_EQ_2 DOWN
700,with_item|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr|atom|NUMBER DOWN
538,decorators|decorator DOWN
137,test UP
203,with_item|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr DOWN
171,expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr DOWN
413,test|or_test|and_test|not_test|comparison UP
169,typedargslist|tfpdef|NAME UP
212,augassign|ADD_ASSIGN DOWN
339,stmt|simple_stmt|small_stmt|expr_stmt|testlist_star_expr|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr|atom DOWN
612,small_stmt|flow_stmt|continue_stmt|CONTINUE UP
498,or_test|and_test|not_test|comparison UP
468,or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr|atom|STRING UP
548,stmt|compound_stmt|try_stmt UP
686,subscript|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr|atom|ELLIPSIS DOWN
160,subscriptlist|subscript|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr|atom|STRING DOWN
81,testlist_star_expr|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr|atom|STRING DOWN
486,CLASS UP
146,dictorsetmaker UP
180,suite|NEWLINE DOWN
675,augassign|MULT_ASSIGN UP
357,stmt|simple_stmt|small_stmt|expr_stmt|testlist_star_expr|test|or_test DOWN
310,AND DOWN
237,WITH DOWN
568,dotted_as_name UP
622,testlist|test DOWN
512,arglist|argument|test|or_test|and_test|not_test|comparison UP
167,test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr|atom DOWN
72,small_stmt|import_stmt|import_from DOWN
172,subscriptlist|subscript|test|or_test|and_test|not_test|comparison UP
258,subscriptlist|subscript DOWN
451,testlist|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr|atom|STRING UP
349,stmt|simple_stmt|small_stmt|flow_stmt|return_stmt DOWN
577,subscript|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr DOWN
91,CLOSE_BRACK UP
523,small_stmt|pass_stmt|PASS DOWN
19,atom|NAME UP
23,testlist_star_expr|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr|atom|NAME UP
571,comp_iter|comp_for DOWN
566,small_stmt|expr_stmt|testlist_star_expr|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term UP
657,testlist_comp|test|or_test|and_test|not_test DOWN
615,test|lambdef DOWN
514,testlist_star_expr|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr|atom|NONE DOWN
638,and_expr|shift_expr|arith_expr|term|factor|power|atom_expr|atom|NAME UP
44,small_stmt|expr_stmt|testlist_star_expr|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr DOWN
152,OPEN_BRACE DOWN
315,testlist_star_expr|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr UP
31,DOT UP
410,IS UP
149,arglist|argument|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr|atom UP
271,factor|power UP
15,test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr|atom|NAME DOWN
328,RETURN DOWN
510,stmt|compound_stmt|while_stmt DOWN
406,testlist_star_expr|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor UP
294,NOT UP
465,testlist_comp|test|or_test DOWN
663,GLOBAL DOWN
552,subscript|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor UP
115,ADD UP
402,subscriptlist|subscript|COLON DOWN
273,POWER DOWN
645,testlist_comp|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor DOWN
133,or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr DOWN
225,IN UP
588,small_stmt|flow_stmt|break_stmt|BREAK UP
362,testlist_star_expr|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr|atom|FALSE UP
558,testlist|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr|atom|TRUE DOWN
